,carat,cut,color,clarity,depth,table,lab,sym,pol,flr,hna,price
1,1.04,Premium,F,VS1,61.9,56,GIA,X,X,,N,"$9,191 "
2,1.04,Premium,H,VS2,61.2,57,GIA,X,X,,N,"$6,786 "
3,1.01,Premium,G,VS2,61.7,56,GIA,X,X,,N,"$7,465 "
4,0.64,Premium,F,VS2,60.4,58,GIA,X,X,,N,"$1,936 "
5,0.84,Premium,G,VS2,61.6,57,GIA,X,X,,N,"$3,973 "
6,1.04,Premium,I,VS2,61.5,57,GIA,X,X,,N,"$6,204 "
7,0.4,Premium,G,VS1,61.6,56,GIA,X,X,N,N,"$1,191 "
8,0.81,Ideal,G,VS2,61.6,57,AGS,ID,ID,N,Y,"$4,391 "
9,0.81,Ideal,G,VS2,61,57,AGS,ID,ID,N,Y,"$4,396 "
10,0.31,Premium,E,VVS1,61.8,55,GIA,X,X,N,N,"$1,140 "
11,0.4,Premium,I,VVS2,60.8,58,GIA,X,X,N,N,$984 
12,0.83,Ideal,H,SI1,61.8,57,AGS,ID,ID,N,Y,"$3,684 "
13,0.54,Ideal,F,VS1,61.3,57,AGS,ID,ID,N,Y,"$2,392 "
14,0.36,Premium,I,VS2,61.4,56,GIA,X,X,N,N,$723 
15,0.33,Premium,H,VVS1,61.5,55,GIA,X,X,N,N,$847 
16,0.52,Premium,H,VVS2,60.7,56,GIA,X,X,N,N,"$1,888 "
17,0.31,Premium,H,SI1,62,55,GIA,X,X,N,N,$648 
18,0.52,Premium,H,VVS2,61.8,58,GIA,X,X,N,N,"$1,888 "
19,0.61,Premium,H,VVS2,61.5,55,GIA,X,X,N,N,"$2,390 "
20,0.32,Premium,F,VS1,61.7,55,GIA,X,X,N,N,$843 
21,0.51,Premium,G,SI1,61.9,55,GIA,X,X,N,N,"$1,695 "
22,0.7,Ideal,G,SI1,61.7,57,AGS,ID,ID,N,Y,"$3,016 "
23,0.43,Premium,F,VVS1,61.4,56,GIA,X,X,N,N,"$1,837 "
24,0.6,Ideal,H,VS2,61.4,57,AGS,ID,ID,N,Y,"$2,289 "
25,0.71,Premium,F,VS2,61.8,56,GIA,X,X,N,N,"$3,887 "
26,0.25,Premium,F,SI1,61.5,55,GIA,X,X,N,N,$470 
27,0.55,Ideal,F,VS1,61.8,56,AGS,ID,ID,N,Y,"$2,130 "
28,0.41,Ideal,I,VS1,61.8,56,AGS,ID,ID,N,Y,"$1,068 "
29,0.24,Premium,F,VVS2,61.2,56,GIA,X,X,N,N,$733 
30,0.28,Premium,F,VVS2,61.2,56,GIA,X,X,N,N,$855 
31,0.51,Ideal,H,VS2,62,55,AGS,ID,ID,N,Y,"$1,859 "
32,0.75,Premium,F,VVS2,61.4,57,GIA,X,X,N,N,"$4,944 "
33,0.35,Premium,I,IF,61.2,55,GIA,X,X,N,N,$813 
34,0.32,Premium,F,VS2,61.6,57,GIA,X,X,N,N,$753 
35,0.41,Premium,G,VS2,61.8,57,GIA,X,X,N,N,"$1,132 "
36,0.6,Premium,F,VS1,62.3,56,GIA,X,X,N,N,"$2,759 "
37,0.51,Premium,F,VVS1,60.4,58,GIA,X,X,N,N,"$2,634 "
38,0.61,Ideal,I,VS1,61.7,56,AGS,ID,ID,N,Y,"$2,102 "
39,1.02,Premium,H,VS1,61,56,GIA,X,X,N,N,"$8,245 "
40,0.71,Premium,I,VVS1,62.2,56,GIA,X,X,N,N,"$3,059 "
41,0.45,Ideal,I,VS1,61.4,56,AGS,ID,ID,N,Y,"$1,079 "
42,0.51,Ideal,H,SI1,61.4,56,AGS,ID,ID,N,Y,"$1,736 "
43,0.71,Premium,G,VS2,61.3,57,GIA,X,X,N,N,"$3,534 "
44,0.43,Ideal,E,VVS1,61.1,56.5,AGS,ID,ID,N,Y,"$1,645 "
45,0.32,Premium,G,VVS1,60.6,58,GIA,X,X,N,N,$850 
46,0.32,Premium,E,VS2,61.6,55,GIA,X,X,N,N,$843 
47,0.26,Premium,G,VVS1,61.3,56,GIA,X,X,N,N,$699 
48,0.5,Premium,F,IF,60.6,58,GIA,X,X,N,N,"$2,643 "
49,0.26,Premium,I,VS1,61.6,55,GIA,X,X,N,N,$528 
50,0.58,Ideal,E,VVS2,62,55.4,AGS,ID,X,N,N,"$3,023 "
51,0.82,Premium,F,VVS1,61.8,56,GIA,X,X,N,N,"$7,065 "
52,0.54,Premium,F,VVS1,61.4,56,GIA,X,X,N,N,"$3,264 "
53,0.75,Ideal,E,VS1,61.7,57,AGS,ID,ID,N,Y,"$4,337 "
54,0.56,Premium,F,VVS2,60.9,56,GIA,X,X,N,N,"$2,577 "
