,carat,cut,color,clarity,depth,table,price
1,4.47,Ideal,F,VS1,60.9,57,"$149,865 "
2,4.04,Ideal,J,VS2,61.8,56,"$50,804 "
3,4.03,Ideal,I,VS2,61.7,57,"$59,872 "
4,3.73,Ideal,I,SI1,61.1,57,"$47,217 "
5,3.31,Ideal,J,VS2,61.8,56,"$34,649 "
6,3.29,Ideal,I,VS1,61.8,55,"$42,879 "
7,3.24,Ideal,J,IF,60.8,58,"$35,926 "
8,3.22,Ideal,F,VS1,61.9,56,"$81,359 "
9,3.18,Ideal,I,SI1,61.6,57,"$36,782 "
10,3.15,Ideal,I,SI1,61.8,56,"$36,242 "
11,3.14,Ideal,H,SI1,61.7,56,"$41,201 "
12,3.13,Ideal,J,VS2,61.7,56,"$33,507 "
13,3.13,Ideal,F,VS1,62,55,"$79,310 "
14,3.13,Ideal,H,VS2,61.6,57,"$46,229 "
15,3.09,Ideal,F,VS2,61.7,56,"$69,343 "
16,3.07,Ideal,H,VS2,61,56,"$46,536 "
17,3.03,Ideal,I,VS2,61.8,56,"$39,646 "
18,3.03,Ideal,G,VS1,61,57,"$64,748 "
19,3.03,Ideal,J,VS2,60.7,57,"$32,633 "
20,3.02,Ideal,F,VS1,60.7,56,"$77,384 "
21,3,Ideal,J,VS2,61.1,57,"$28,990 "
22,2.99,Ideal,J,VS1,61.2,57,"$29,988 "
23,2.97,Ideal,I,VS2,61.7,57,"$35,102 "
24,2.94,Ideal,I,VS2,61.4,56,"$34,801 "
25,2.92,Ideal,I,SI1,61.1,56,"$31,187 "
26,2.88,Ideal,J,SI1,60.5,57,"$25,417 "
27,2.79,Ideal,I,VS2,61.4,57,"$30,954 "
28,2.74,Ideal,I,SI1,61.2,56,"$27,023 "
29,2.72,Ideal,J,SI1,61.8,56,"$23,258 "
30,2.67,Ideal,G,SI1,61.8,56,"$34,751 "
31,2.64,Ideal,H,SI1,61.1,57,"$29,018 "
32,2.59,Ideal,I,VS2,61.5,57,"$27,620 "
33,2.57,Ideal,H,VS2,61,56,"$33,249 "
34,2.56,Ideal,F,VS1,61.8,57,"$47,288 "
35,2.55,Ideal,E,VS1,61.4,56,"$55,663 "
36,2.53,Ideal,J,SI1,61.6,55,"$21,164 "
37,2.53,Ideal,I,VS2,61.1,57.5,"$29,696 "
38,2.53,Ideal,G,VS1,61.5,57,"$41,064 "
39,2.52,Ideal,I,VS2,61.2,57,"$27,869 "
40,2.51,Ideal,F,VS1,61.9,55,"$47,396 "
41,2.5,Ideal,G,VS2,60.5,57,"$36,353 "
42,2.44,Ideal,J,VS2,61.4,56,"$20,707 "
43,2.43,Ideal,H,VS2,61.3,57,"$31,742 "
44,2.41,Ideal,J,SI1,61.7,55,"$19,130 "
45,2.39,Ideal,F,VS1,61.8,56,"$44,899 "
46,2.38,Ideal,I,VS2,61.4,56,"$24,226 "
47,2.36,Ideal,J,VS2,61.8,55,"$18,914 "
48,2.33,Ideal,H,VS2,61.5,57,"$27,571 "
49,2.3,Ideal,J,VS1,61.7,56.5,"$22,486 "
50,2.27,Ideal,J,SI1,61.5,56,"$18,052 "
51,2.26,Ideal,J,SI1,61.8,56,"$16,497 "
52,2.24,Ideal,G,VS1,61.6,55.9,"$35,613 "
53,2.22,Ideal,F,VS1,61.9,56,"$39,287 "
54,2.19,Ideal,I,SI2,61.6,54.8,"$20,221 "
55,2.18,Ideal,F,VS1,61.5,56,"$37,757 "
56,2.18,Ideal,H,VS2,-,-,"$27,330 "
57,2.14,Ideal,D,VS1,61.3,55,"$49,295 "
